row,tile,scope,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio,raw_coverage,common_mask_frac
F_full,E4_N44,tile,2186713,47,0.11077470654424372,0.06101899003542629,0.07541233049083909,0.04975571650881743,1.4689203452968524,0.9996671910236664,0.9996671910236664
F_resid,E4_N44,tile,2186713,47,0.14451502038764538,0.09515156632891314,0.11895113281991539,0.04936345405873224,1.2149108374313016,0.9996671910236664,0.9996671910236664
F_pfree,E4_N44,tile,2186713,47,0.13433990240863136,0.09024525768768472,0.11080697540131487,0.04409464472094664,1.212377667760411,0.9996671910236664,0.9996671910236664
mosaic,E8_N32,tile,2174775,64,0.1169925278099991,0.07164262515907306,0.08244765795973091,0.04534990265092603,1.4189915238967805,1.0,0.9942096723980213
F_h1only,E8_N32,tile,2174775,64,0.09349518069611723,0.0870809640278527,0.11990937316831748,0.006414216668264527,0.779715365244029,0.9942096723980213,0.9942096723980213
F_full,E8_N32,tile,2174775,64,0.17785968327817447,0.1454648756620464,0.1685912953615803,0.03239480761612806,1.054975483145296,0.9942096723980213,0.9942096723980213
F_resid,E8_N32,tile,2174775,64,0.2094494271235562,0.1686111672988439,0.2003685088538374,0.040838259824712286,1.0453210852427066,0.9942096723980213,0.9942096723980213
F_pfree,E8_N32,tile,2174775,64,0.1506661188900776,0.12028679121898041,0.14869564988630293,0.030379327671097203,1.0132516923345192,0.9942096723980213,0.9942096723980213
mosaic,E8_N36,tile,2096321,45,0.4050848018557438,0.14847502705037535,0.20811360417871466,0.25660977480536845,1.9464599801360551,1.0,0.9583440193358358
F_h1only,E8_N36,tile,2096321,45,0.2589093662713161,0.12068640814795387,0.1635793883583185,0.13822295812336224,1.5827749991592983,0.9583440193358358,0.9583440193358358
F_full,E8_N36,tile,2096321,45,0.16425244480496384,0.06800098433877709,0.10886449509838168,0.09625146046618675,1.5087788232198904,0.9583440193358358,0.9583440193358358
F_resid,E8_N36,tile,2096321,45,0.26963041736019816,0.2092567005494618,0.2595464549286003,0.06037371681073636,1.0388522449068778,0.9583440193358358,0.9583440193358358
F_pfree,E8_N36,tile,2096321,45,0.2944519953157665,0.21535029141058462,0.262858544531971,0.07910170390518187,1.1201918348899358,0.9583440193358358,0.9583440193358358
mosaic,E8_N40,tile,2187032,50,0.13919532769459952,0.12127767352262546,0.14337858822441404,0.017917654171974065,0.9708236733139892,1.0,0.9998130235284061
F_h1only,E8_N40,tile,2187032,50,0.17877303188101715,0.10773155531697005,0.12908285064902467,0.07104147656404709,1.3849479693247535,0.9998130235284061,0.9998130235284061
F_full,E8_N40,tile,2187032,50,0.11794913331931116,0.06772870588010867,0.07609261405424662,0.05022042743920249,1.5500733518659895,0.9998130235284061,0.9998130235284061
F_resid,E8_N40,tile,2187032,50,0.14430920102058536,0.1508687177501084,0.1812232841992372,-0.0065595167295230405,0.7963060688268488,0.9998130235284061,0.9998130235284061
F_pfree,E8_N40,tile,2187032,50,0.2755874303433836,0.251489814261009,0.2688956740163646,0.024097616082374596,1.024886069110252,0.9998130235284061,0.9998130235284061
mosaic,E8_N44,tile,2147166,31,0.29681864051403206,0.0881152273424688,0.12881963877363029,0.20870341317156327,2.3041412267551835,1.0,0.9815880748326469
F_h1only,E8_N44,tile,2147166,31,0.2040003101440912,0.05762008630009154,0.08632942731928435,0.14638022384399965,2.3630448675352373,0.9815880748326469,0.9815880748326469
F_full,E8_N44,tile,2147166,31,0.06014400266677057,0.05953434728964242,0.07096071850976267,0.0006096553771281488,0.8475675546957159,0.9815880748326469,0.9815880748326469
F_resid,E8_N44,tile,2147166,31,0.1688236396640009,0.10785895267251999,0.13793940236983906,0.060964686991480915,1.2238971371744525,0.9815880748326469,0.9815880748326469
F_pfree,E8_N44,tile,2147166,31,0.34124317075486915,0.2181770314079304,0.2440457745778257,0.12306613934693875,1.3982752676016827,0.9815880748326469,0.9815880748326469
mosaic,E12_N44,tile,2186677,53,0.2364951873851787,0.19883845251109272,0.25130355450603525,0.03765673487408597,0.9410737856455551,1.0,0.9996507334369247
F_h1only,E12_N44,tile,2186677,53,0.2901060823657521,0.19242952545311404,0.23351636481027074,0.09767655691263805,1.2423372666042476,0.9996507334369247,0.9996507334369247
F_full,E12_N44,tile,2186677,53,0.18725586070452716,0.07917666837793774,0.09376936779265034,0.10807919232658941,1.9969832911596563,0.9996507334369247,0.9996507334369247
F_resid,E12_N44,tile,2186677,53,0.2800617642042135,0.27086032922979114,0.3161944029066505,0.009201434974422384,0.8857265075843093,0.9996507334369247,0.9996507334369247
F_pfree,E12_N44,tile,2186677,53,0.27977133733703397,0.2872683797838921,0.3349181139897851,-0.007497042446858115,0.8353425080662161,0.9996507334369247,0.9996507334369247
mosaic,E16_N44,tile,1949538,37,0.17214311725734988,0.07468984585460346,0.09658213180053396,0.09745327140274641,1.7823495303755366,1.0,0.8912414094825872
F_h1only,E16_N44,tile,1949538,37,0.13151468760756888,0.06426703326968677,0.0822563333563303,0.0672476543378821,1.598839654544944,0.8912414094825872,0.8912414094825872
F_full,E16_N44,tile,1949538,37,0.07343917985552634,0.05040888052430178,0.06994063165014147,0.02303029933122456,1.0500216844320964,0.8912414094825872,0.8912414094825872
F_resid,E16_N44,tile,1949538,37,0.20818824523190066,0.14273447451565907,0.16851893937872217,0.06545377071624159,1.2353996886013352,0.8912414094825872,0.8912414094825872
F_pfree,E16_N44,tile,1949538,37,0.19871100535176311,0.16383394326677148,0.18581113001446253,0.03487706208499164,1.0694246643691179,0.8912414094825872,0.8912414094825872
